sex,birth,education,grade,income,pa_mar,edu_fa,edu_ma,have_c,conway,sleep,pa_use,trouble,self_diag,f1,f2,f3,f4,f5,f6,f7,scr,fac,lon,eff,d
2,1968,3,2,3,1,3,5,1,2,1,3,3,2,58.18,68.34,48.14,53.93,55.44,50.96,45.98,27,52,48,57,10.16
1,1988,2,2,6,1,10,11,1,1,4,1,4,2,43.83,43.8,42.89,45.51,49.19,43.87,42.88,37,34,21,75,-0.03
1,1988,2,4,2,1,9,5,1,1,3,2,4,2,45.88,43.8,63.88,42.7,67.94,50.96,52.17,28,56,37,40,-2.08
2,1989,2,4,1,1,8,4,1,1,3,4,4,1,56.13,43.8,50.76,39.89,58.56,65.14,55.26,25,49,51,60,-12.33
1,1990,2,2,3,1,9,5,1,1,4,2,3,2,37.68,43.8,48.14,45.51,39.81,40.32,45.98,29,53,39,59,6.12
1,1989,2,3,3,1,5,2,1,1,3,1,3,2,52.03,49.94,56.01,56.74,52.31,54.5,67.65,32,58,25,66,-2.09
1,1988,2,3,1,2,4,5,1,3,2,4,3,1,41.78,43.8,40.26,48.31,46.06,43.87,39.78,25,52,35,65,2.02
1,1988,2,3,3,1,5,5,1,1,3,2,4,3,54.08,43.8,58.64,56.74,58.56,50.96,58.36,32,58,35,44,-10.28
1,1989,2,4,3,5,7,7,1,1,4,1,4,2,54.08,43.8,48.14,42.7,39.81,58.05,67.65,29,52,33,57,-10.28
1,1987,2,1,2,1,9,9,1,1,4,2,3,2,60.23,68.34,56.01,59.55,58.56,58.05,76.93,33,61,49,48,8.11
1,1987,2,3,2,1,5,5,1,1,3,1,3,3,54.08,49.94,56.01,51.12,61.69,58.05,58.36,37,35,43,58,-4.14
1,1987,2,4,2,1,5,5,1,3,3,4,3,2,39.73,43.8,40.26,51.12,39.81,50.96,49.07,25,31,29,85,4.07
1,1988,2,5,1,1,1,5,1,3,3,3,3,3,90.96,99.02,77.01,87.64,83.56,104.15,80.03,29,62,50,69,8.06
2,1987,2,3,3,1,5,5,1,3,4,1,5,1,39.73,43.8,53.39,45.51,55.44,43.87,49.07,32,48,35,71,4.07
1,1989,2,5,2,1,5,5,1,2,3,4,3,3,52.03,43.8,48.14,45.51,42.94,40.32,49.07,20,60,56,40,-8.23
2,1988,2,1,3,1,9,9,1,2,3,1,3,2,39.73,43.8,45.51,45.51,39.81,43.87,42.88,30,51,35,59,4.07
1,1987,2,3,2,1,9,5,1,1,3,2,4,3,39.73,43.8,53.39,48.31,39.81,47.41,45.98,26,53,50,51,4.07
1,1984,3,3,4,1,5,3,1,4,3,1,3,2,56.13,49.94,66.51,67.98,80.44,50.96,64.55,22,54,62,52,-6.19
1,1984,3,5,3,1,5,5,1,1,3,2,2,3,54.08,43.8,45.51,45.51,46.06,43.87,49.07,30,51,29,64,-10.28
2,1987,2,2,3,1,5,3,1,3,3,3,3,2,39.73,43.8,37.64,39.89,46.06,50.96,49.07,38,44,28,61,4.07
1,1987,2,3,2,5,5,3,1,2,4,4,4,2,37.68,43.8,45.51,51.12,58.56,50.96,42.88,35,50,24,80,6.12
1,1989,2,1,3,1,3,5,1,2,4,4,3,2,45.88,43.8,50.76,53.93,42.94,50.96,52.17,31,37,25,77,-2.08
1,1988,2,3,3,1,9,9,1,1,2,4,4,3,70.47,92.88,56.01,70.79,64.81,65.14,67.65,28,58,41,62,22.41
1,1984,3,2,3,1,9,5,1,1,1,2,3,2,49.98,43.8,58.64,45.51,58.56,50.96,45.98,31,55,28,84,-6.18
1,1986,3,2,2,1,3,5,1,1,2,4,4,2,58.18,49.94,48.14,51.12,55.44,50.96,52.17,32,61,45,50,-8.24
1,1986,3,1,6,1,9,9,1,1,3,1,2,4,58.18,49.94,58.64,67.98,42.94,61.6,67.65,29,60,43,37,-8.24
1,1987,2,2,3,1,5,5,1,3,3,3,3,3,49.98,56.07,40.26,45.51,42.94,47.41,45.98,27,46,33,69,6.09
1,1988,2,3,2,1,5,5,1,1,3,2,4,2,47.93,49.94,66.51,59.55,55.44,61.6,42.88,28,48,30,67,2.01
1,1985,3,2,3,1,9,9,1,1,3,2,2,4,41.78,43.8,37.64,53.93,39.81,50.96,58.36,28,51,30,66,2.02
1,1988,2,4,2,2,9,9,1,1,3,2,3,2,52.03,43.8,37.64,37.08,42.94,43.87,45.98,31,52,30,68,-8.23
1,1974,3,2,6,1,5,1,1,1,2,2,3,3,58.18,43.8,45.51,53.93,39.81,40.32,52.17,26,51,65,58,-14.38
1,1989,2,1,1,1,10,10,1,1,2,1,3,2,52.03,43.8,79.63,70.79,52.31,58.05,70.74,26,46,38,63,-8.23
1,1989,2,3,4,1,9,7,1,1,3,2,3,2,52.03,56.07,58.64,48.31,39.81,58.05,49.07,26,59,52,59,4.04
1,1989,2,4,2,1,3,3,1,2,4,1,2,2,62.27,43.8,66.51,56.74,83.56,54.5,55.26,29,47,31,78,-18.47
1,1987,3,4,3,1,5,5,1,1,3,3,4,1,37.68,43.8,50.76,42.7,49.19,40.32,33.59,41,43,25,61,6.12
1,1988,2,2,2,1,9,11,1,1,3,1,5,2,35.64,43.8,37.64,37.08,36.69,40.32,33.59,28,29,48,76,8.16
1,1984,3,3,3,1,9,2,1,2,3,2,2,2,54.08,43.8,50.76,48.31,42.94,43.87,39.78,42,37,27,74,-10.28
1,1989,2,3,2,1,9,5,1,1,4,1,5,1,35.64,43.8,40.26,39.89,46.06,40.32,36.69,39,30,21,89,8.16
2,1984,3,1,6,1,7,5,1,2,2,1,5,1,35.64,43.8,50.76,37.08,46.06,40.32,33.59,35,27,27,81,8.16
1,1986,3,3,3,1,5,5,1,1,2,2,3,3,56.13,62.21,45.51,42.7,61.69,50.96,45.98,30,52,33,64,6.08
1,1989,2,1,4,1,5,3,1,3,2,4,4,2,37.68,43.8,56.01,39.89,64.81,43.87,45.98,35,43,39,61,6.12
1,1987,3,1,2,1,2,1,1,1,2,2,1,3,86.86,80.61,69.13,65.17,77.31,79.33,76.93,25,57,42,47,-6.25
2,1987,2,3,4,1,7,5,1,1,3,4,3,2,45.88,43.8,45.51,56.74,39.81,47.41,52.17,35,46,20,75,-2.08
1,1988,2,2,3,1,5,5,1,1,3,4,2,3,56.13,56.07,56.01,65.17,55.44,72.23,64.55,21,61,67,50,-0.06
1,1987,2,3,2,1,7,7,1,1,3,4,4,3,58.18,62.21,42.89,45.51,74.19,50.96,52.17,31,67,44,44,4.03
1,1987,3,3,4,1,9,5,1,1,3,4,3,1,43.83,56.07,56.01,51.12,52.31,50.96,45.98,32,44,28,51,12.24
1,1988,2,2,2,1,3,5,1,1,4,4,4,2,49.98,43.8,48.14,48.31,46.06,47.41,42.88,42,42,22,84,-6.18
2,1987,2,1,2,1,9,5,1,1,3,1,3,3,39.73,43.8,63.88,59.55,61.69,43.87,64.55,42,32,23,88,4.07
1,1989,2,1,3,1,5,1,1,1,4,4,3,3,56.13,74.48,58.64,51.12,58.56,54.5,58.36,27,43,37,62,18.35
1,1986,3,1,3,2,5,9,1,1,2,3,5,1,37.68,43.8,58.64,42.7,58.56,43.87,45.98,27,30,44,93,6.12
2,1986,3,2,3,1,9,5,1,1,2,2,4,2,45.88,43.8,48.14,56.74,49.19,58.05,55.26,31,54,33,48,-2.08
1,1988,2,5,4,1,7,5,1,3,3,4,4,3,54.08,43.8,40.26,42.7,52.31,40.32,58.36,28,61,32,57,-10.28
2,1986,3,1,2,1,1,1,1,1,3,4,5,3,56.13,43.8,63.88,45.51,49.19,54.5,45.98,28,55,44,57,-12.33
2,1985,3,5,5,1,9,9,1,1,2,3,5,1,35.64,43.8,42.89,56.74,39.81,40.32,49.07,27,41,40,71,8.16
1,1988,2,3,3,1,5,5,1,1,3,4,3,3,49.98,49.94,71.76,62.36,71.06,47.41,39.78,33,50,30,59,-0.04
2,1987,2,1,2,1,9,8,1,1,2,1,3,2,45.88,43.8,56.01,67.98,71.06,50.96,55.26,11,65,65,31,-2.08
1,1987,2,3,2,1,5,5,1,1,3,1,3,2,54.08,43.8,45.51,51.12,49.19,50.96,49.07,31,49,38,73,-10.28
1,1985,3,1,2,1,7,3,1,1,1,2,5,2,37.68,43.8,50.76,42.7,61.69,40.32,36.69,33,33,29,86,6.12
1,1986,3,1,3,1,9,5,1,1,2,4,3,3,45.88,49.94,53.39,48.31,39.81,54.5,55.26,30,35,38,88,4.06
2,1987,3,3,1,5,9,5,1,1,3,4,4,4,66.37,56.07,53.39,59.55,58.56,50.96,73.84,28,55,53,51,-10.3
1,1988,2,1,4,1,5,3,1,3,3,3,5,1,45.88,56.07,42.89,51.12,46.06,54.5,49.07,33,54,43,59,10.19
2,1989,2,4,2,1,1,5,1,1,2,3,5,2,39.73,43.8,74.38,59.55,52.31,40.32,42.88,31,61,31,49,4.07
1,1987,2,3,4,1,9,9,1,1,2,1,2,2,56.13,68.34,50.76,56.74,55.44,61.6,58.36,32,51,52,57,12.21
1,1984,3,3,2,1,7,5,1,1,3,2,3,2,49.98,43.8,37.64,53.93,39.81,43.87,64.55,35,46,32,75,-6.18
1,1985,3,2,2,1,1,1,1,1,4,4,2,3,74.57,43.8,74.38,87.64,55.44,86.42,76.93,30,59,35,56,-30.77
2,1984,3,3,2,1,3,3,1,4,3,4,4,1,41.78,43.8,42.89,39.89,42.94,47.41,39.78,30,53,46,44,2.02
2,1986,3,4,3,1,1,1,1,2,2,2,3,2,54.08,49.94,50.76,51.12,58.56,58.05,45.98,27,58,38,54,-4.14
1,1988,2,1,2,1,9,5,1,3,2,1,3,2,47.93,43.8,53.39,48.31,71.06,58.05,42.88,34,50,49,55,-4.13
2,1988,2,1,6,1,10,7,1,1,2,1,2,4,58.18,62.21,69.13,62.36,58.56,61.6,70.74,27,55,51,59,4.03
1,1989,2,2,2,1,9,9,1,1,4,3,3,2,49.98,43.8,50.76,45.51,49.19,68.69,39.78,28,51,53,50,-6.18
1,1989,2,2,3,1,5,5,1,1,3,1,3,3,54.08,49.94,50.76,53.93,55.44,68.69,58.36,29,58,50,57,-4.14
1,1985,3,4,2,1,1,3,2,0,4,4,5,2,37.68,43.8,42.89,42.7,55.44,43.87,45.98,25,53,50,51,6.12
1,1987,2,4,2,1,9,5,1,1,2,3,2,2,62.27,56.07,63.88,67.98,77.31,75.78,52.17,27,64,45,42,-6.2
2,1988,2,4,2,1,5,3,1,1,2,2,3,2,54.08,49.94,42.89,59.55,49.19,58.05,45.98,30,52,45,57,-4.14
1,1985,3,2,6,1,1,5,1,1,4,2,5,1,41.78,56.07,50.76,45.51,36.69,43.87,45.98,28,57,49,51,14.29
2,1989,2,4,6,1,9,5,1,3,3,1,3,3,62.27,43.8,48.14,53.93,55.44,50.96,52.17,32,61,25,55,-18.47
1,1986,3,5,5,1,9,5,1,1,3,4,3,3,76.62,92.88,66.51,87.64,77.31,82.87,80.03,25,64,56,58,16.26
2,1989,2,2,2,1,5,5,1,1,3,1,2,2,45.88,43.8,37.64,42.7,42.94,40.32,49.07,39,48,22,79,-2.08
2,1987,2,4,2,1,5,9,1,1,4,2,3,3,54.08,49.94,71.76,51.12,61.69,58.05,52.17,22,67,32,62,-4.14
2,1988,2,3,3,1,9,5,1,1,4,1,4,1,47.93,43.8,48.14,51.12,49.19,61.6,61.46,38,60,31,71,-4.13
1,1989,2,3,1,1,10,9,1,4,2,2,2,2,54.08,43.8,42.89,45.51,49.19,58.05,61.46,30,47,50,70,-10.28
1,1987,2,4,3,2,9,5,1,3,4,2,2,2,64.32,62.21,42.89,48.31,58.56,47.41,45.98,28,73,24,54,-2.11
2,1990,2,1,3,1,9,9,1,1,2,2,3,4,78.67,43.8,79.63,87.64,77.31,79.33,76.93,33,52,41,46,-34.87
2,1986,3,4,2,1,3,2,1,5,3,2,3,1,52.03,62.21,56.01,53.93,52.31,58.05,55.26,28,58,48,53,10.18
2,1987,2,2,3,1,9,9,1,1,4,4,4,4,56.13,49.94,71.76,70.79,61.69,47.41,58.36,28,53,39,61,-6.19
2,1984,3,1,2,1,9,7,1,1,2,2,5,1,41.78,43.8,50.76,48.31,61.69,43.87,39.78,39,52,28,59,2.02
1,1987,2,1,6,1,11,11,1,3,3,1,2,3,70.47,74.48,66.51,67.98,67.94,68.69,52.17,31,56,51,63,4.01
2,1987,3,3,2,1,7,5,1,1,4,1,4,1,35.64,43.8,40.26,37.08,39.81,43.87,42.88,37,49,22,60,8.16
1,1987,2,5,4,5,7,7,1,1,2,4,5,4,72.52,99.02,77.01,56.74,74.19,72.23,61.46,29,62,50,69,26.5
2,1989,2,4,3,1,5,5,1,1,3,2,4,3,49.98,43.8,37.64,42.7,64.81,58.05,55.26,25,58,51,57,-6.18
2,1985,3,3,2,1,5,5,1,1,4,4,3,4,60.23,62.21,82.26,87.64,64.81,54.5,64.55,23,40,74,54,1.98
1,1989,2,4,6,1,9,11,1,1,3,1,3,2,49.98,56.07,48.14,42.7,46.06,47.41,55.26,25,56,33,44,6.09
1,1984,3,3,3,1,5,5,1,2,3,4,3,3,62.27,68.34,66.51,59.55,67.94,58.05,64.55,31,55,47,63,6.07
2,1984,3,2,4,1,9,9,1,1,2,4,4,1,47.93,49.94,37.64,45.51,52.31,43.87,45.98,22,60,49,58,2.01
1,1987,2,2,3,1,7,5,1,1,3,2,3,2,49.98,49.94,56.01,39.89,61.69,61.6,49.07,29,61,48,52,-0.04
1,1984,3,3,2,1,7,3,1,1,4,2,4,4,56.13,43.8,66.51,59.55,61.69,43.87,61.46,31,53,42,53,-12.33
2,1986,3,4,1,1,9,7,1,1,3,1,3,2,43.83,43.8,45.51,45.51,64.81,40.32,49.07,35,52,43,56,-0.03
1,1988,2,2,3,1,5,5,1,1,2,4,3,3,62.27,49.94,61.26,67.98,49.19,61.6,61.46,31,62,32,51,-12.33
